image_id,id,rank,duration_s
338325,14791,13,0.14369047
226662,15425,22,0.13700067
570736,15462,95,0.09221791
51598,15485,47,0.08220259
93437,15621,10,0.10099848
46378,15894,1,0.14478132
192871,15959,2,0.09815739
365642,15969,57,0.10953923
472678,16074,24,0.10608186
289393,16252,1,0.119065925
393569,16408,31,0.12342392
255965,16437,13,0.1108079
492937,16613,45,0.1048217
314251,16726,12,0.16908054
11511,16927,1,0.10898979
255965,17058,7,0.13486856
221754,17065,93,0.1748585
249025,17068,1,0.15470432
117425,17147,1,0.17023546
393569,17275,42,0.15249069
570736,17358,58,0.14567713
561256,17402,100,0.13910349
192871,17477,3,0.11785985
249025,17536,5,0.09506405
159977,17539,2,0.10514551
445846,17583,88,0.07870563
65485,18010,22,0.1641338
365642,18027,4,0.15298699
65485,18037,42,0.13930205
51598,18251,5,0.13925686
492937,18275,5,0.13689505
51598,18317,13,0.14468944
65485,18520,83,0.15715243
63740,18549,71,0.17961767
365642,18675,5,0.09490195
159977,19000,4,0.1664752
393569,19009,26,0.18908307
11511,19042,1,0.09760728
232538,19206,,0.13880284
192871,19259,2,0.13214713
117425,19394,2,0.1115938
159977,19396,8,0.1894943
63740,19458,43,0.20345059
249025,19468,1,0.15181914
561256,19511,79,0.1559141
492937,19526,44,0.18473627
51598,19553,11,0.12828648
159977,19702,3,0.1355673
11511,19711,1,0.13107674
314251,19843,9,0.12440832
393569,19942,4,0.11278329
192871,19973,4,0.16991396
249025,20431,1,0.15932225
492937,20657,6,0.14109318
445846,20850,58,0.14755495
63740,20910,41,0.14502159
492937,20933,4,0.07058962
117425,20939,2,0.093627565
159977,20989,3,0.1450952
177934,21197,,0.14271666
96549,21407,45,0.12899624
445846,21453,,0.13622737
117425,21497,1,0.1483888
445846,21534,98,0.096051715
469192,21608,6,0.12890656
117425,21647,1,0.09405431
177934,22004,2,0.10688614
221754,22603,62,0.16456781
96549,23129,1,0.18762419
469192,23321,60,0.123127855
469192,23795,1,0.19938661
232538,23799,,0.07278119
469192,24392,6,0.14412253
44652,24695,10,0.15256822
177934,24725,2,0.16127421
210502,24781,1,0.07789124
116479,24877,23,0.11330496
232538,25173,,0.179333
298396,25178,7,0.10090133
187513,25257,77,0.13606118
44652,25259,13,0.15564008
552883,25373,33,0.16911334
232538,25434,,0.10293136
469192,25514,12,0.17239067
116479,25609,3,0.088749066
96549,25793,54,0.08737423
552883,26024,,0.17709412
44652,26486,5,0.16952227
570736,26499,63,0.09595172
116479,26548,45,0.16990341
228214,26764,1,0.16572693
552883,26807,,0.10605169
221754,27196,33,0.17193085
116479,27403,33,0.105609104
177934,27587,1,0.13003008
232538,27717,,0.1532307
570736,27741,65,0.18553841
177934,27869,38,0.15783118
63740,27981,68,0.119463496
552883,28145,65,0.1966592
210502,28225,6,0.15341692
