CPU (%):
(43.641, 160.700)
(43.851, 156.900)
(44.059, 148.700)
(44.264, 136.700)
(44.472, 129.700)
(44.678, 131.300)
(44.888, 137.700)
(45.100, 137.100)
(45.305, 131.700)
(45.520, 143.900)
(45.731, 142.600)
(45.936, 136.600)
(46.146, 133.000)
(46.361, 139.800)
(46.573, 141.200)
(46.783, 161.700)
(46.991, 158.700)
(47.200, 158.500)
(47.407, 135.300)
(47.612, 135.900)
(47.819, 145.300)
(48.025, 126.200)
(48.237, 169.900)
(48.447, 137.900)
(48.657, 166.800)
(48.869, 118.000)
(49.079, 157.000)
(49.285, 146.200)
(49.493, 110.100)
(49.707, 164.300)
(49.911, 122.200)
(50.121, 166.700)
(50.328, 150.100)
(50.538, 123.900)
(50.750, 146.100)
(50.960, 147.600)
(51.166, 136.100)
(51.371, 146.300)
(51.575, 141.500)
(51.781, 131.300)
(51.987, 160.200)
(52.193, 131.300)
(52.398, 165.600)
(52.605, 135.400)
(52.811, 126.300)
(53.016, 180.200)
(53.221, 131.500)
(53.427, 140.900)
(53.633, 141.100)
(53.838, 126.600)
(54.044, 155.200)
(54.249, 131.900)
(54.457, 144.100)
(54.663, 141.100)
(54.868, 121.900)
(55.080, 160.300)
(55.288, 139.200)
(55.498, 152.700)
(55.703, 136.700)
(55.911, 153.700)
(56.120, 153.300)
(56.328, 129.200)
(56.536, 149.600)
(56.741, 121.600)
(56.950, 148.900)
(57.155, 121.600)
(57.365, 180.900)
(57.571, 116.500)
(57.776, 132.100)
(57.980, 122.100)
(58.186, 175.100)
(58.391, 146.400)
(58.597, 160.400)
(58.802, 165.600)
(59.007, 126.900)
(59.212, 136.600)
(59.421, 133.700)
(59.626, 131.900)
(59.831, 126.900)
(60.035, 131.900)
(60.240, 151.200)
(60.446, 111.900)
(60.651, 170.600)
(60.857, 136.200)
(61.062, 131.600)
(61.268, 140.400)
(61.476, 125.600)
(61.682, 155.300)
(61.886, 127.100)
(62.092, 111.800)
(62.302, 157.200)
(62.510, 115.600)
(62.715, 151.200)
(62.919, 131.900)
(63.129, 147.400)
(63.335, 170.300)
(63.540, 155.800)
(63.745, 176.100)
(63.949, 117.400)
(64.154, 141.800)
(64.360, 164.800)
(64.565, 117.100)
(64.771, 141.100)
(64.976, 112.100)
(65.181, 156.000)
(65.386, 122.100)
(65.591, 170.600)
(65.796, 136.400)
(66.001, 136.500)
(66.206, 117.000)
(66.412, 136.400)
(66.617, 131.500)
(66.822, 131.400)
(67.029, 135.900)
(67.233, 161.400)
(67.438, 146.200)
(67.643, 126.800)
(67.848, 151.000)
(68.054, 117.000)
(68.261, 144.900)
(68.466, 136.100)
(68.672, 160.700)
(68.876, 122.200)
(69.082, 141.000)
(69.288, 140.900)
(69.498, 128.500)
(69.702, 141.900)
(69.910, 139.400)
(70.115, 146.100)
(70.322, 135.300)
(70.528, 126.700)
(70.736, 144.100)
(70.942, 155.200)
(71.147, 141.500)
(71.355, 148.800)
(71.561, 131.300)
(71.771, 157.000)
(71.976, 126.700)
(72.182, 165.500)
(72.387, 126.400)
(72.593, 140.700)
(72.798, 107.500)
(73.003, 141.300)
(73.217, 150.000)
(73.422, 116.700)
(73.630, 173.400)
(73.835, 131.600)
(74.041, 146.200)
(74.245, 151.500)
(74.452, 140.000)
(74.663, 142.400)
(74.868, 131.900)
(75.079, 175.400)
(75.285, 111.600)
(75.496, 170.100)
(75.701, 146.400)
(75.913, 174.800)
(76.119, 126.400)
(76.329, 138.000)
(76.534, 126.900)
(76.746, 146.000)
(76.953, 145.100)
(77.159, 140.900)
(77.367, 149.000)
(77.572, 126.600)
(77.780, 177.900)
(77.985, 131.700)
(78.193, 134.400)
(78.402, 153.700)
(78.607, 131.300)
(78.817, 161.800)
(79.023, 121.700)
(79.231, 182.600)
(79.436, 165.700)
(79.641, 160.700)
(79.850, 158.600)
(80.055, 131.300)
(80.262, 154.700)
(80.472, 128.700)
(80.680, 139.600)
(80.888, 192.200)
(81.093, 122.000)
(81.301, 148.900)
(81.510, 157.900)
(81.715, 116.900)
(81.929, 149.400)
(82.135, 131.200)
(82.341, 189.800)
(82.547, 126.100)
(82.755, 187.100)
(82.961, 136.100)
(83.171, 157.000)
(83.381, 157.000)
(83.586, 131.700)
(83.796, 148.100)
(84.001, 175.800)
(84.206, 141.500)
(84.413, 149.100)
(84.619, 136.500)
(84.824, 121.800)
(85.032, 182.400)
(85.237, 150.900)
(85.442, 166.200)
(85.647, 141.400)
(85.854, 149.900)
(86.059, 150.900)
(86.264, 136.500)
(86.470, 160.500)
(86.678, 119.900)
(86.883, 161.000)
(87.089, 136.300)
(87.298, 143.400)
(87.503, 117.000)
(87.714, 180.600)
(87.919, 151.100)
(88.124, 180.000)
(88.330, 140.800)
(88.539, 172.500)
(88.744, 126.700)
(88.950, 140.800)
(89.156, 131.300)
(89.362, 160.200)
(89.571, 152.600)
(89.782, 137.900)
(89.992, 161.700)
(90.200, 129.700)
(90.410, 161.900)
(90.618, 129.700)
(90.824, 131.100)
(91.030, 121.700)
(91.235, 175.300)
(91.442, 149.600)
(91.647, 136.500)
(91.856, 177.000)
(92.067, 118.800)
(92.271, 171.000)
(92.477, 126.500)
(92.682, 117.200)
(92.892, 137.900)
(93.097, 141.600)
(93.302, 112.400)
(93.510, 153.800)
(93.716, 140.800)
(93.924, 139.200)
(94.135, 142.200)
(94.343, 144.200)
(94.551, 124.900)
(94.759, 148.800)
(94.971, 160.900)
(95.181, 133.200)
(95.386, 151.100)
(95.597, 137.500)
(95.807, 166.500)
(96.015, 177.700)
(96.225, 133.300)
(96.438, 173.700)
(96.655, 194.200)
(96.866, 156.200)
(97.077, 142.400)
(97.287, 133.000)
(97.495, 153.700)
(97.707, 165.400)
(97.917, 142.600)
(98.129, 165.500)
(98.338, 129.500)
(98.548, 137.900)
(98.759, 142.300)
(98.969, 147.400)
(99.179, 119.300)
(99.389, 175.700)
(99.598, 138.800)
(99.807, 138.800)
(100.017, 128.500)
(100.227, 133.200)
(100.438, 128.100)
(100.649, 166.400)
(100.860, 118.100)
(101.071, 137.900)
(101.281, 114.100)
(101.491, 138.200)
(101.701, 128.400)
(101.915, 131.100)
(102.124, 143.500)
(102.338, 130.500)
(102.549, 166.300)
(102.758, 110.100)
(102.966, 144.200)
(103.176, 137.700)
(103.387, 142.700)
(103.598, 123.100)
(103.808, 138.000)
(104.018, 114.100)
(104.229, 128.400)
(104.439, 137.900)
(104.651, 136.500)
(104.861, 138.100)
(105.072, 175.900)
(105.278, 135.900)
(105.486, 177.600)
(105.691, 131.500)
(105.896, 127.100)
(106.106, 166.500)
(106.312, 136.200)
(106.516, 151.600)
(106.725, 139.000)
(106.935, 142.700)
(107.140, 190.700)
(107.348, 134.500)
(107.557, 138.800)
(107.764, 149.800)
(107.974, 128.500)
(108.183, 148.200)
(108.387, 151.700)
(108.598, 152.200)
(108.808, 109.400)
(109.017, 196.300)
(109.222, 117.200)
(109.426, 171.100)
(109.632, 121.500)
(109.842, 152.200)
(110.053, 132.700)
(110.263, 161.800)
(110.477, 126.500)
(110.687, 152.200)
(110.894, 125.300)
(111.099, 146.200)
(111.304, 131.900)
(111.509, 136.600)
(111.715, 131.200)
(111.920, 156.200)
(112.124, 131.800)
(112.329, 141.800)
(112.534, 121.800)
(112.739, 151.600)
(112.944, 131.700)
(113.148, 156.300)
(113.354, 111.900)
(113.559, 156.200)
(113.764, 156.000)
(113.968, 127.200)
(114.173, 141.400)
(114.378, 117.300)
(114.584, 140.500)
(114.789, 151.300)
(114.994, 146.100)
(115.199, 151.500)
(115.405, 170.300)
(115.610, 126.800)
(115.816, 150.500)
(116.021, 170.900)
(116.225, 136.800)
(116.432, 150.000)
(116.638, 164.900)
(116.844, 116.700)
(117.054, 147.700)
(117.262, 115.300)
(117.476, 145.100)
(117.684, 124.900)
(117.892, 163.300)
(118.102, 133.000)
(118.313, 190.100)
(118.525, 146.300)
(118.736, 137.100)
(118.946, 152.200)
(119.155, 110.300)
(119.365, 152.200)
(119.575, 123.700)
(119.790, 162.700)
(120.001, 138.000)
(120.211, 133.200)
(120.421, 152.000)
(120.626, 136.500)
(120.833, 121.100)
(121.038, 180.300)
(121.243, 122.000)
(121.448, 136.500)
(121.654, 131.200)
(121.863, 129.200)
(122.074, 142.200)
(122.281, 130.100)
(122.487, 174.700)
(122.693, 126.500)
(122.898, 141.500)
(123.102, 151.600)
(123.307, 131.600)
(123.516, 143.900)
(123.721, 136.200)
(123.927, 185.000)
(124.132, 150.800)
(124.340, 120.200)
(124.549, 148.200)
(124.759, 128.600)
(124.970, 189.700)
(125.175, 141.500)
(125.381, 141.100)
(125.591, 152.500)
(125.796, 117.200)
(126.004, 148.600)
(126.209, 122.200)
(126.419, 133.400)
(126.623, 151.500)
(126.833, 138.100)
(127.038, 136.600)
(127.244, 165.400)
(127.451, 164.300)
(127.659, 110.500)
(127.869, 147.700)
(128.078, 153.300)
(128.288, 161.800)
(128.492, 141.800)
(128.702, 138.300)
(128.907, 121.800)
(129.113, 136.300)
(129.321, 153.400)
(129.527, 121.600)
(129.736, 191.100)
(129.941, 117.200)
(130.147, 164.900)
(130.352, 165.900)
(130.558, 145.800)
(130.764, 140.900)
(130.969, 131.500)
(131.176, 154.800)
(131.384, 134.700)
(131.592, 129.400)
(131.801, 143.600)
(132.006, 136.500)
(132.217, 157.000)
(132.422, 131.500)
(132.627, 150.800)
(132.833, 136.300)
(133.043, 143.000)
(133.248, 126.800)
(133.453, 136.400)
(133.658, 122.400)
(133.863, 136.300)
(134.068, 151.200)
(134.274, 126.300)
(134.478, 190.500)
(134.683, 165.900)
(134.889, 150.900)
(135.095, 111.600)
(135.305, 142.800)
(135.511, 126.100)
(135.721, 152.300)
(135.926, 117.300)
(136.134, 139.400)
(136.338, 117.300)
(136.549, 161.700)
(136.759, 133.300)
(136.967, 173.000)
(137.173, 116.800)
(137.377, 156.400)
(137.583, 150.200)
(137.794, 132.900)
(138.000, 121.200)
(138.206, 146.100)
(138.413, 145.200)
(138.619, 140.500)
(138.824, 160.500)
(139.029, 141.800)
(139.234, 141.200)
(139.441, 164.400)
(139.647, 112.000)
(139.852, 145.800)
(140.058, 126.300)
(140.264, 165.400)
(140.469, 131.400)
(140.674, 136.500)
(140.883, 187.100)
(141.088, 116.800)
(141.294, 145.900)
(141.503, 163.000)
(141.709, 140.800)
(141.914, 136.300)
(142.120, 135.900)
(142.327, 164.200)
(142.532, 131.700)
(142.737, 165.500)
(142.943, 131.300)
(143.148, 155.800)
(143.354, 136.300)
(143.561, 140.100)
