timestamp, utilization.gpu [%], memory.used [MiB]
2023/04/19 14:38:43.765, 91, 2322
2023/04/19 14:38:43.966, 91, 2322
2023/04/19 14:38:44.167, 93, 2322
2023/04/19 14:38:44.367, 93, 2322
2023/04/19 14:38:44.568, 93, 2322
2023/04/19 14:38:44.769, 93, 2322
2023/04/19 14:38:44.969, 93, 2322
2023/04/19 14:38:45.170, 92, 2322
2023/04/19 14:38:45.371, 92, 2322
2023/04/19 14:38:45.573, 92, 2322
2023/04/19 14:38:45.773, 92, 2322
2023/04/19 14:38:45.974, 92, 2322
2023/04/19 14:38:46.176, 93, 2322
2023/04/19 14:38:46.377, 93, 2322
2023/04/19 14:38:46.577, 93, 2322
2023/04/19 14:38:46.778, 93, 2322
2023/04/19 14:38:46.979, 93, 2322
2023/04/19 14:38:47.180, 93, 2322
2023/04/19 14:38:47.380, 93, 2322
2023/04/19 14:38:47.581, 93, 2322
2023/04/19 14:38:47.782, 93, 2322
2023/04/19 14:38:47.982, 93, 2322
2023/04/19 14:38:48.183, 92, 2322
2023/04/19 14:38:48.384, 92, 2322
2023/04/19 14:38:48.585, 92, 2322
2023/04/19 14:38:48.785, 92, 2322
2023/04/19 14:38:48.986, 92, 2322
2023/04/19 14:38:49.188, 91, 2322
2023/04/19 14:38:49.389, 91, 2322
2023/04/19 14:38:49.590, 91, 2322
2023/04/19 14:38:49.791, 91, 2322
2023/04/19 14:38:49.993, 91, 2322
2023/04/19 14:38:50.194, 92, 2322
2023/04/19 14:38:50.395, 92, 2322
2023/04/19 14:38:50.596, 92, 2322
2023/04/19 14:38:50.796, 92, 2322
2023/04/19 14:38:50.996, 92, 2322
2023/04/19 14:38:51.197, 92, 2322
2023/04/19 14:38:51.398, 92, 2322
2023/04/19 14:38:51.599, 92, 2322
2023/04/19 14:38:51.799, 92, 2322
2023/04/19 14:38:52.000, 92, 2322
2023/04/19 14:38:52.201, 94, 2322
2023/04/19 14:38:52.401, 94, 2322
2023/04/19 14:38:52.602, 94, 2322
2023/04/19 14:38:52.804, 94, 2322
2023/04/19 14:38:53.005, 94, 2322
2023/04/19 14:38:53.206, 91, 2322
2023/04/19 14:38:53.407, 91, 2322
2023/04/19 14:38:53.608, 91, 2322
2023/04/19 14:38:53.809, 91, 2322
2023/04/19 14:38:54.010, 91, 2322
2023/04/19 14:38:54.210, 92, 2322
2023/04/19 14:38:54.411, 92, 2322
2023/04/19 14:38:54.612, 92, 2322
2023/04/19 14:38:54.812, 92, 2322
2023/04/19 14:38:55.013, 92, 2322
2023/04/19 14:38:55.214, 92, 2322
2023/04/19 14:38:55.414, 92, 2322
2023/04/19 14:38:55.615, 92, 2322
2023/04/19 14:38:55.816, 92, 2322
2023/04/19 14:38:56.017, 92, 2322
2023/04/19 14:38:56.218, 91, 2322
2023/04/19 14:38:56.419, 91, 2322
2023/04/19 14:38:56.619, 91, 2322
2023/04/19 14:38:56.820, 91, 2322
2023/04/19 14:38:57.022, 91, 2322
2023/04/19 14:38:57.223, 91, 2322
2023/04/19 14:38:57.425, 91, 2322
2023/04/19 14:38:57.627, 91, 2322
2023/04/19 14:38:57.829, 91, 2322
2023/04/19 14:38:58.030, 91, 2322
2023/04/19 14:38:58.231, 92, 2322
2023/04/19 14:38:58.432, 92, 2322
2023/04/19 14:38:58.632, 92, 2322
2023/04/19 14:38:58.833, 92, 2322
2023/04/19 14:38:59.034, 92, 2322
2023/04/19 14:38:59.234, 91, 2322
2023/04/19 14:38:59.435, 91, 2322
2023/04/19 14:38:59.636, 91, 2322
2023/04/19 14:38:59.836, 91, 2322
2023/04/19 14:39:00.038, 91, 2322
2023/04/19 14:39:00.238, 92, 2322
2023/04/19 14:39:00.439, 92, 2322
2023/04/19 14:39:00.640, 92, 2322
2023/04/19 14:39:00.841, 92, 2322
2023/04/19 14:39:01.043, 92, 2322
2023/04/19 14:39:01.244, 92, 2322
2023/04/19 14:39:01.445, 92, 2322
2023/04/19 14:39:01.645, 92, 2322
2023/04/19 14:39:01.847, 92, 2322
2023/04/19 14:39:02.048, 92, 2322
2023/04/19 14:39:02.249, 91, 2322
2023/04/19 14:39:02.450, 91, 2322
2023/04/19 14:39:02.651, 91, 2322
2023/04/19 14:39:02.852, 91, 2322
2023/04/19 14:39:03.052, 91, 2322
2023/04/19 14:39:03.253, 93, 2322
2023/04/19 14:39:03.454, 93, 2322
2023/04/19 14:39:03.654, 93, 2322
2023/04/19 14:39:03.855, 93, 2322
2023/04/19 14:39:04.056, 93, 2322
2023/04/19 14:39:04.256, 91, 2322
2023/04/19 14:39:04.457, 91, 2322
2023/04/19 14:39:04.658, 91, 2322
2023/04/19 14:39:04.859, 91, 2322
2023/04/19 14:39:05.061, 91, 2322
2023/04/19 14:39:05.262, 92, 2322
2023/04/19 14:39:05.464, 92, 2322
2023/04/19 14:39:05.666, 92, 2322
2023/04/19 14:39:05.868, 92, 2322
2023/04/19 14:39:06.070, 92, 2322
2023/04/19 14:39:06.272, 93, 2322
2023/04/19 14:39:06.474, 93, 2334
2023/04/19 14:39:06.677, 93, 2334
2023/04/19 14:39:06.878, 93, 2334
2023/04/19 14:39:07.080, 93, 2334
2023/04/19 14:39:07.282, 91, 2334
2023/04/19 14:39:07.484, 91, 2334
2023/04/19 14:39:07.686, 91, 2334
2023/04/19 14:39:07.888, 91, 2334
2023/04/19 14:39:08.090, 91, 2334
2023/04/19 14:39:08.293, 92, 2334
2023/04/19 14:39:08.494, 92, 2334
2023/04/19 14:39:08.697, 92, 2334
2023/04/19 14:39:08.899, 92, 2334
2023/04/19 14:39:09.100, 92, 2334
2023/04/19 14:39:09.303, 92, 2334
2023/04/19 14:39:09.504, 92, 2334
2023/04/19 14:39:09.706, 92, 2334
2023/04/19 14:39:09.908, 92, 2334
2023/04/19 14:39:10.111, 92, 2334
2023/04/19 14:39:10.312, 92, 2334
2023/04/19 14:39:10.515, 92, 2334
2023/04/19 14:39:10.715, 92, 2334
2023/04/19 14:39:10.917, 92, 2334
2023/04/19 14:39:11.118, 92, 2334
2023/04/19 14:39:11.319, 92, 2334
2023/04/19 14:39:11.520, 92, 2334
2023/04/19 14:39:11.720, 92, 2334
2023/04/19 14:39:11.921, 92, 2334
2023/04/19 14:39:12.122, 92, 2334
2023/04/19 14:39:12.323, 92, 2334
2023/04/19 14:39:12.523, 92, 2334
2023/04/19 14:39:12.724, 92, 2334
2023/04/19 14:39:12.925, 92, 2334
2023/04/19 14:39:13.126, 92, 2334
2023/04/19 14:39:13.326, 93, 2334
2023/04/19 14:39:13.527, 93, 2334
2023/04/19 14:39:13.728, 93, 2334
2023/04/19 14:39:13.929, 93, 2334
2023/04/19 14:39:14.130, 93, 2334
2023/04/19 14:39:14.331, 92, 2334
2023/04/19 14:39:14.532, 92, 2334
2023/04/19 14:39:14.733, 92, 2334
2023/04/19 14:39:14.935, 92, 2334
2023/04/19 14:39:15.136, 92, 2334
2023/04/19 14:39:15.336, 93, 2334
2023/04/19 14:39:15.537, 93, 2334
2023/04/19 14:39:15.738, 93, 2334
2023/04/19 14:39:15.939, 93, 2334
2023/04/19 14:39:16.139, 93, 2334
2023/04/19 14:39:16.340, 92, 2334
2023/04/19 14:39:16.541, 92, 2334
2023/04/19 14:39:16.742, 92, 2334
2023/04/19 14:39:16.942, 92, 2334
2023/04/19 14:39:17.143, 92, 2334
2023/04/19 14:39:17.344, 92, 2334
2023/04/19 14:39:17.544, 92, 2334
2023/04/19 14:39:17.745, 92, 2334
2023/04/19 14:39:17.946, 92, 2334
2023/04/19 14:39:18.147, 92, 2334
2023/04/19 14:39:18.348, 93, 2334
2023/04/19 14:39:18.550, 93, 2334
2023/04/19 14:39:18.751, 93, 2334
2023/04/19 14:39:18.952, 93, 2334
2023/04/19 14:39:19.153, 93, 2334
2023/04/19 14:39:19.354, 92, 2334
2023/04/19 14:39:19.555, 92, 2334
2023/04/19 14:39:19.756, 92, 2334
2023/04/19 14:39:19.957, 92, 2334
2023/04/19 14:39:20.158, 92, 2334
2023/04/19 14:39:20.359, 92, 2334
2023/04/19 14:39:20.560, 92, 2334
2023/04/19 14:39:20.760, 92, 2334
2023/04/19 14:39:20.961, 92, 2334
2023/04/19 14:39:21.162, 92, 2334
2023/04/19 14:39:21.362, 92, 2334
2023/04/19 14:39:21.563, 91, 2334
2023/04/19 14:39:21.764, 91, 2334
2023/04/19 14:39:21.964, 91, 2334
2023/04/19 14:39:22.165, 91, 2334
2023/04/19 14:39:22.366, 91, 2334
2023/04/19 14:39:22.566, 92, 2334
2023/04/19 14:39:22.767, 92, 2334
2023/04/19 14:39:22.968, 92, 2334
2023/04/19 14:39:23.169, 92, 2334
2023/04/19 14:39:23.370, 92, 2334
2023/04/19 14:39:23.571, 91, 2334
2023/04/19 14:39:23.771, 91, 2334
2023/04/19 14:39:23.973, 91, 2334
2023/04/19 14:39:24.174, 91, 2334
2023/04/19 14:39:24.374, 91, 2334
2023/04/19 14:39:24.575, 91, 2334
2023/04/19 14:39:24.776, 91, 2334
2023/04/19 14:39:24.976, 91, 2334
2023/04/19 14:39:25.177, 91, 2334
2023/04/19 14:39:25.378, 91, 2334
2023/04/19 14:39:25.578, 92, 2334
