# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      59.683      165.000     4493.695    19312.766
      59.889      129.500     4494.211    19312.766
      60.097      199.000     4494.211    19312.766
      60.308      115.000     4494.211    19312.766
      60.517      165.300     4494.211    19312.766
      60.722      161.000     4494.211    19312.766
      60.927      151.200     4494.211    19312.766
      61.132      156.400     4494.211    19312.766
      61.343      161.000     4494.211    19312.766
      61.548      107.200     4494.211    19312.766
      61.753      142.300     4494.211    19312.766
      61.964      214.700     4494.211    19312.766
      62.169      118.300     4494.211    19312.766
      62.381      205.200     4494.469    19312.766
      62.585      141.500     4494.469    19312.766
      62.790      175.700     4494.469    19312.766
      62.995      112.100     4494.469    19312.766
      63.200      193.400     4494.469    19312.766
      63.412      125.500     4494.469    19312.766
      63.627      143.200     4494.469    19312.766
      63.837      218.200     4494.727    19312.766
      64.048      147.100     4494.727    19312.766
      64.259      128.000     4494.727    19312.766
      64.469      201.500     4494.727    19312.766
      64.678      126.200     4494.727    19312.766
      64.884      207.400     4494.727    19312.766
      65.096      118.100     4494.727    19312.766
      65.308      126.800     4494.727    19312.766
      65.513      194.500     4494.727    19312.766
      65.724      105.400     4494.727    19312.766
      65.932      177.200     4494.727    19312.766
      66.141      146.900     4494.727    19312.766
      66.352      132.800     4495.242    19312.766
      66.563      198.700     4495.242    19312.766
      66.769      131.500     4495.242    19312.766
      66.974      158.200     4495.242    19312.766
      67.183      114.900     4495.242    19312.766
      67.392      209.000     4495.242    19312.766
      67.602      127.600     4495.242    19312.766
      67.814      128.000     4495.242    19312.766
      68.025      213.200     4495.242    19312.766
      68.236      123.400     4495.500    19312.766
      68.447      175.500     4495.500    19312.766
      68.658      120.100     4495.500    19312.766
      68.866      156.000     4495.500    19312.766
      69.077      137.900     4495.500    19312.766
      69.288      156.300     4495.500    19312.766
      69.499      132.800     4495.500    19312.766
      69.710      179.600     4495.500    19312.766
      69.921      122.400     4495.500    19312.766
      70.134      161.500     4495.500    19312.766
      70.344      138.400     4495.500    19312.766
      70.554      151.700     4495.500    19312.766
      70.764      138.900     4495.500    19312.766
      70.973      151.800     4495.500    19312.766
      71.184      128.000     4495.500    19312.766
      71.395      170.700     4495.500    19312.766
      71.606      136.600     4495.500    19312.766
      71.811      172.300     4495.500    19312.766
      72.020      117.900     4495.500    19312.766
      72.232      171.000     4495.500    19312.766
      72.442      123.000     4495.500    19312.766
      72.654      182.000     4495.500    19312.766
      72.863      142.300     4495.500    19312.766
      73.074      161.200     4495.758    19312.766
      73.284      137.100     4496.016    19312.766
      73.496      175.300     4496.273    19312.766
      73.707      184.900     4496.273    19312.766
      73.918      118.400     4496.273    19312.766
      74.129      180.200     4496.273    19312.766
      74.340      131.700     4496.273    19312.766
      74.553      185.800     4496.273    19312.766
      74.762      129.500     4496.273    19312.766
      74.971      132.800     4496.273    19312.766
      75.182      179.400     4496.273    19312.766
      75.394      128.200     4496.273    19312.766
      75.604      151.500     4496.273    19312.766
      75.815      166.200     4496.273    19312.766
      76.026      142.300     4496.273    19312.766
      76.237      166.300     4496.273    19312.766
      76.447      140.600     4496.273    19312.766
      76.661      175.500     4496.273    19312.766
      76.872      109.000     4496.273    19312.766
      77.083      215.200     4496.273    19312.766
      77.292      123.300     4496.273    19312.766
      77.503      160.700     4496.273    19312.766
      77.714      161.200     4496.273    19312.766
      77.925      133.900     4496.273    19312.766
      78.134      185.000     4496.273    19312.766
      78.345      104.300     4496.273    19312.766
      78.556      188.600     4496.273    19312.766
      78.768      109.100     4496.531    19312.766
      78.979      184.900     4496.531    19312.766
      79.190      108.000     4496.531    19312.766
      79.403      214.500     4496.531    19312.766
      79.608      111.800     4496.531    19312.766
      79.814      140.600     4496.531    19312.766
      80.020      165.300     4496.531    19312.766
      80.226      123.400     4496.531    19312.766
      80.436      165.300     4496.531    19312.766
      80.642      155.600     4496.531    19312.766
      80.848      112.200     4496.531    19312.766
      81.052      175.000     4496.531    19312.766
      81.258      126.000     4496.531    19312.766
      81.465      160.300     4496.531    19312.766
      81.670      147.000     4496.531    19312.766
      81.881      126.800     4496.531    19312.766
      82.086      189.400     4496.531    19312.766
      82.292      110.300     4496.531    19312.766
      82.501      156.200     4496.531    19312.766
      82.706      163.000     4496.531    19312.766
      82.914      139.100     4496.531    19312.766
      83.123      175.400     4496.531    19312.766
      83.334      108.500     4496.531    19313.766
      83.546      178.700     4496.531    19313.766
      83.758      139.600     4496.531    19313.766
      83.966      117.100     4496.531    19313.766
      84.171      131.900     4496.531    19313.766
      84.376      194.400     4496.531    19313.766
      84.582      134.300     4496.531    19313.766
      84.790      199.200     4496.531    19313.766
      84.996      119.900     4496.531    19313.766
      85.204      168.300     4496.531    19313.766
      85.418      128.000     4496.531    19313.766
      85.629      132.800     4496.789    19313.766
      85.840      184.600     4496.789    19313.766
      86.046      123.400     4496.789    19313.766
      86.257      143.200     4496.789    19313.766
      86.466      161.100     4496.789    19313.766
      86.677      136.700     4496.789    19313.766
      86.890      184.800     4496.789    19313.766
      87.100      102.400     4496.789    19313.766
      87.305      137.500     4496.789    19313.766
      87.516      161.000     4496.789    19313.766
      87.721      136.100     4496.789    19313.766
      87.927      161.300     4496.789    19313.766
      88.138      107.100     4496.789    19313.766
      88.343      141.600     4496.789    19313.766
      88.548      180.400     4496.789    19313.766
      88.753      128.100     4496.789    19313.766
      88.964      190.200     4496.789    19313.766
      89.169      146.900     4496.789    19313.766
      89.380      150.500     4496.789    19313.766
      89.586      136.500     4496.789    19313.766
      89.791      165.600     4496.789    19313.766
      89.997      126.700     4496.789    19313.766
      90.202      234.400     4496.789    19313.766
      90.406      125.900     4496.789    19313.766
      90.613      150.000     4496.789    19313.766
      90.819      136.500     4496.789    19313.766
      91.025      155.900     4496.789    19313.766
      91.230      131.700     4496.789    19313.766
      91.443      189.600     4496.789    19313.766
      91.648      123.300     4496.789    19313.766
      91.859      132.500     4496.789    19313.766
      92.071      195.300     4496.789    19313.766
      92.280      136.100     4496.789    19313.766
      92.486      155.700     4496.789    19313.766
      92.698      194.900     4496.789    19313.766
      92.903      126.700     4496.789    19313.766
      93.109      166.100     4496.789    19313.766
      93.313      112.100     4496.789    19313.766
      93.518      151.800     4496.789    19313.766
      93.729      130.800     4496.789    19313.766
      93.936      170.700     4496.789    19313.766
      94.147      147.000     4496.789    19313.766
      94.357      136.200     4496.789    19313.766
      94.570      163.000     4496.789    19313.766
      94.779      106.900     4496.789    19313.766
      94.985      190.200     4496.789    19313.766
      95.190      114.300     4496.789    19313.766
      95.400      164.800     4497.047    19313.766
      95.612      151.700     4497.047    19313.766
      95.823      151.900     4497.047    19313.766
      96.034      125.300     4497.047    19313.766
      96.242      161.600     4497.047    19313.766
      96.452      160.900     4497.047    19313.766
      96.663      161.300     4497.047    19313.766
      96.874      123.600     4497.047    19313.766
      97.084      175.700     4497.047    19313.766
      97.295      123.400     4497.047    19313.766
      97.506      189.600     4497.047    19313.766
      97.716      104.300     4497.047    19313.766
      97.927      151.700     4497.047    19313.766
      98.138      137.500     4497.047    19313.766
      98.350      175.200     4497.047    19313.766
      98.561      147.200     4497.047    19313.766
      98.771      123.300     4497.047    19313.766
      98.982      200.400     4497.047    19313.766
      99.197      105.300     4497.047    19313.766
      99.405      198.500     4497.047    19313.766
      99.617      104.300     4497.047    19313.766
      99.828      174.500     4497.047    19313.766
     100.040      147.000     4497.047    19313.766
     100.251      142.300     4497.047    19313.766
     100.462      175.500     4497.047    19313.766
     100.673      108.900     4497.047    19313.766
     100.884      184.800     4497.047    19313.766
     101.095      136.700     4497.047    19313.766
     101.307      147.000     4497.047    19313.766
     101.518      133.300     4497.047    19313.766
     101.728      189.700     4497.047    19313.766
     101.939      142.300     4497.047    19313.766
     102.150      127.800     4497.047    19313.766
     102.361      170.700     4497.047    19313.766
     102.572      131.800     4497.047    19313.766
     102.784      123.000     4497.305    19313.766
     102.996      199.200     4497.305    19313.766
     103.206      119.300     4497.305    19313.766
     103.416      189.400     4497.305    19313.766
     103.622      128.100     4497.305    19313.766
     103.833      140.600     4497.305    19313.766
     104.046      179.500     4497.305    19313.766
     104.252      128.200     4497.305    19313.766
     104.463      199.100     4497.305    19313.766
     104.674      148.400     4497.305    19313.766
     104.882      177.000     4497.305    19313.766
     105.091      151.800     4497.305    19313.766
     105.302      131.500     4497.305    19313.766
     105.516      167.300     4497.305    19313.766
     105.725      129.400     4497.305    19313.766
     105.933      153.200     4497.305    19313.766
     106.142      127.900     4497.305    19313.766
     106.353      202.400     4497.305    19313.766
     106.566      118.500     4497.305    19313.766
     106.776      146.100     4497.305    19313.766
     106.989      158.100     4497.305    19313.766
     107.197      133.100     4497.305    19313.766
     107.408      148.100     4497.305    19313.766
     107.617      132.800     4497.305    19313.766
     107.828      175.400     4497.305    19313.766
     108.039      122.700     4497.562    19313.766
     108.251      191.200     4497.562    19313.766
     108.465      135.400     4497.562    19313.766
     108.672      147.000     4497.562    19313.766
     108.883      119.800     4497.562    19313.766
     109.092      151.600     4497.562    19313.766
     109.302      189.700     4497.562    19313.766
     109.513      123.200     4497.562    19313.766
     109.724      189.600     4497.562    19313.766
     109.935      131.600     4497.562    19313.766
     110.148      169.500     4497.562    19313.766
     110.361      132.700     4497.562    19313.766
     110.572      151.700     4497.562    19313.766
     110.782      175.600     4497.562    19313.766
     110.993      123.300     4497.562    19313.766
     111.204      151.100     4497.562    19313.766
     111.409      165.800     4497.562    19313.766
     111.620      142.300     4497.562    19313.766
     111.831      199.200     4498.594    19313.766
     112.042      123.100     4498.594    19313.766
     112.253      181.200     4498.594    19313.766
     112.463      123.400     4498.594    19313.766
     112.674      185.200     4498.594    19313.766
     112.884      110.200     4498.594    19313.766
     113.093      141.600     4498.594    19313.766
     113.305      133.000     4498.594    19313.766
     113.515      157.800     4498.594    19313.766
     113.724      141.300     4498.594    19313.766
     113.937      161.100     4498.594    19313.766
     114.148      129.400     4498.594    19313.766
     114.356      151.800     4498.594    19313.766
     114.567      148.400     4498.594    19313.766
     114.776      146.800     4498.594    19313.766
     114.987      175.300     4498.594    19313.766
     115.193      166.100     4498.594    19313.766
     115.403      119.900     4498.594    19313.766
     115.612      184.400     4498.594    19313.766
     115.818      121.500     4498.594    19313.766
     116.024      175.600     4498.594    19313.766
     116.234      132.800     4498.594    19313.766
     116.445      128.100     4498.594    19313.766
     116.656      165.500     4498.594    19313.766
     116.868      126.600     4498.594    19313.766
     117.081      213.200     4498.594    19313.766
     117.297      121.700     4498.594    19313.766
     117.502      209.600     4498.594    19313.766
     117.707      113.900     4498.594    19313.766
     117.918      233.400     4498.594    19313.766
     118.123      117.100     4498.594    19313.766
     118.337      203.700     4498.594    19313.766
     118.548      123.300     4498.594    19313.766
     118.759      128.200     4498.594    19313.766
     118.970      182.200     4498.594    19313.766
     119.178      120.500     4498.594    19313.766
     119.386      136.600     4498.594    19313.766
     119.591      160.900     4498.594    19313.766
     119.796      143.300     4498.594    19313.766
     120.005      156.500     4498.594    19313.766
     120.216      126.000     4498.594    19313.766
     120.430      181.400     4498.594    19313.766
     120.639      123.500     4498.594    19313.766
     120.850      170.700     4498.594    19313.766
     121.061      128.100     4498.594    19313.766
     121.272      137.600     4498.594    19313.766
     121.483      182.500     4498.594    19313.766
     121.691      123.300     4498.594    19313.766
     121.902      208.700     4498.852    19313.766
     122.108      102.500     4498.852    19313.766
     122.313      158.100     4498.852    19313.766
     122.521      131.400     4498.852    19313.766
     122.727      140.600     4498.852    19313.766
     122.933      204.300     4498.852    19313.766
     123.139      131.500     4498.852    19313.766
     123.352      150.200     4498.852    19313.766
     123.558      170.900     4499.883    19313.766
     123.769      140.000     4499.883    19313.766
     123.983      153.400     4499.883    19313.766
     124.192      187.000     4499.883    19313.766
     124.400      121.900     4499.883    19313.766
     124.605      195.100     4499.883    19313.766
     124.810      161.300     4499.883    19313.766
     125.021      131.500     4499.883    19313.766
     125.226      175.300     4500.398    19313.766
     125.432      111.900     4500.398    19313.766
     125.637      172.700     4500.398    19313.766
     125.846      147.000     4500.398    19313.766
     126.057      156.500     4500.398    19313.766
     126.268      123.800     4500.398    19313.766
     126.478      160.300     4500.398    19313.766
     126.683      190.600     4500.398    19313.766
     126.888      132.200     4500.398    19313.766
     127.100      194.500     4500.398    19313.766
     127.311      109.100     4500.398    19313.766
     127.522      134.200     4500.398    19313.766
     127.730      172.500     4500.398    19313.766
     127.939      129.400     4500.398    19313.766
     128.147      175.600     4500.398    19313.766
     128.358      161.300     4500.398    19313.766
     128.569      165.100     4500.398    19313.766
     128.781      166.000     4500.398    19313.766
     128.992      113.900     4500.398    19313.766
