image_id,id,rank,duration_s
482917,13606,4,0.120110475
289393,13618,6,0.08739787
192871,13634,3,0.1574608
338325,14008,34,0.082767986
365642,14058,3,0.09879434
393569,14206,29,0.08446398
226662,14330,39,0.16657571
255965,14370,,0.09722666
116479,14446,33,0.11840408
63740,14472,66,0.14255674
338325,14791,11,0.14068474
226662,15425,51,0.09889597
570736,15462,68,0.086668566
51598,15485,53,0.091895826
93437,15621,2,0.13772158
46378,15894,1,0.11860251
192871,15959,4,0.1358236
365642,15969,7,0.14592561
472678,16074,3,0.1370165
289393,16252,1,0.14299005
393569,16408,26,0.14484626
255965,16437,5,0.12933756
492937,16613,16,0.13914673
314251,16726,5,0.14931118
11511,16927,1,0.09901394
255965,17058,3,0.13136531
221754,17065,,0.07950087
249025,17068,1,0.12516278
117425,17147,1,0.13868535
393569,17275,5,0.06399463
570736,17358,24,0.1578383
561256,17402,28,0.13517071
192871,17477,2,0.15121378
249025,17536,3,0.1535387
159977,17539,1,0.0883189
445846,17583,63,0.17502016
65485,18010,15,0.14044093
365642,18027,4,0.10311288
65485,18037,77,0.08758827
51598,18251,4,0.122101225
492937,18275,4,0.09150583
51598,18317,15,0.130018
65485,18520,46,0.119830355
63740,18549,72,0.12510517
365642,18675,3,0.061339553
159977,19000,3,0.12075738
393569,19009,11,0.06941563
11511,19042,1,0.14828281
232538,19206,61,0.119315475
192871,19259,2,0.15230516
117425,19394,1,0.1216022
159977,19396,2,0.11957745
63740,19458,14,0.14498037
249025,19468,1,0.071485005
561256,19511,18,0.12759298
492937,19526,,0.11967041
51598,19553,9,0.10802774
159977,19702,4,0.082109936
11511,19711,1,0.094298296
314251,19843,8,0.13295957
393569,19942,25,0.10549719
192871,19973,2,0.08846509
249025,20431,1,0.14452186
492937,20657,2,0.1295745
445846,20850,27,0.1479147
63740,20910,98,0.119901955
492937,20933,2,0.09093019
117425,20939,1,0.13604705
159977,20989,1,0.12806903
177934,21197,1,0.119766384
96549,21407,35,0.13039438
445846,21453,73,0.088787556
117425,21497,1,0.1298735
445846,21534,67,0.15976879
469192,21608,2,0.121415034
117425,21647,2,0.12753312
177934,22004,1,0.13839991
221754,22603,,0.14552411
96549,23129,1,0.1533908
469192,23321,1,0.10219153
469192,23795,12,0.09629972
232538,23799,55,0.093344115
469192,24392,1,0.17972523
44652,24695,15,0.12005205
177934,24725,1,0.12759095
210502,24781,1,0.10113006
116479,24877,17,0.10272821
232538,25173,70,0.16867006
298396,25178,7,0.123501725
187513,25257,87,0.10572699
44652,25259,12,0.105989456
552883,25373,11,0.1045356
232538,25434,,0.16892974
469192,25514,1,0.123355836
116479,25609,3,0.11422317
96549,25793,40,0.16170408
552883,26024,38,0.12856786
44652,26486,5,0.11398256
570736,26499,26,0.10522384
116479,26548,56,0.106073275
228214,26764,1,0.11468644
552883,26807,29,0.15925673
221754,27196,17,0.11343555
116479,27403,8,0.07032178
177934,27587,1,0.13873483
232538,27717,,0.106459714
570736,27741,93,0.123787746
177934,27869,42,0.06204833
63740,27981,85,0.14487088
552883,28145,16,0.13491833
210502,28225,2,0.073011786
